Date,Pmtwo,NO,CO,AQI
06-09-2015,33.33,16.95,16.95,302
07-09-2015,29.52,16.94,16.94,301
08-09-2015,15.53,17,17,301
09-09-2015,57.51,16.31,16.31,
10-09-2015,50.24,9.46,9.46,226
11-09-2015,61.77,8.68,8.68,276
12-09-2015,46.93,7.14,7.14,209
13-09-2015,43.01,6.82,6.82,179
14-09-2015,42.06,8.43,8.43,197
15-09-2015,44.94,7.14,7.14,229
16-09-2015,29.58,6.61,6.61,170
17-09-2015,32.15,6.5,6.5,164
18-09-2015,36.33,7.68,7.68,195
19-09-2015,24.46,8.45,8.45,220
20-09-2015,,,,
21-09-2015,27.08,9.95,9.95,
22-09-2015,59.29,9.21,9.21,217
23-09-2015,65.32,10.61,10.61,254
24-09-2015,47.39,9.26,9.26,241
25-09-2015,43.88,8.69,8.69,244
26-09-2015,28.35,9.05,9.05,243
27-09-2015,3.59,11.26,11.26,244
28-09-2015,3.04,16.31,16.31,327
29-09-2015,19.14,10.33,10.33,390
30-09-2015,69.12,8.85,8.85,231
01-10-2015,76.41,17.96,17.96,396
02-10-2015,102.49,33.31,33.31,731
03-10-2015,127.94,11.14,11.14,466
04-10-2015,87.18,7.83,7.83,230
05-10-2015,99.73,20.16,20.16,309
06-10-2015,84.15,15.83,15.83,519
07-10-2015,92.12,18.21,18.21,397
08-10-2015,94.02,27.14,27.14,517
09-10-2015,150.27,15.9,15.9,653
10-10-2015,118.91,5.42,5.42,355
11-10-2015,91.41,5.19,5.19,227
12-10-2015,95.9,10.38,10.38,316
13-10-2015,137.87,20.2,20.2,536
14-10-2015,90.71,18.12,18.12,370
15-10-2015,108.68,17.03,17.03,551
16-10-2015,98.79,17.72,17.72,393
17-10-2015,145.75,20.61,20.61,671
18-10-2015,179.43,52.33,52.33,969
19-10-2015,170.52,15.49,15.49,471
20-10-2015,203.4,23.03,23.03,529
21-10-2015,92.71,12.92,12.92,
22-10-2015,64.66,4.79,4.79,213
23-10-2015,78.14,10.58,10.58,297
24-10-2015,100.17,32.27,32.27,605
25-10-2015,147.35,34.64,34.64,691
26-10-2015,206.89,145.32,145.32,971
27-10-2015,114.84,38.09,38.09,
28-10-2015,89.64,5.42,5.42,270
29-10-2015,51.72,1.89,1.89,188
30-10-2015,54.59,2.31,2.31,114
31-10-2015,46.5,1.22,1.22,143
01-11-2015,,,,
02-11-2015,122.54,75.42,75.42,
03-11-2015,147.18,33.06,33.06,557
04-11-2015,214.67,57.37,57.37,
05-11-2015,207.13,28.41,28.41,536
06-11-2015,191.01,39.61,39.61,354
07-11-2015,192.35,9.39,9.39,381
08-11-2015,127.64,6.74,6.74,355
09-11-2015,,,,
10-11-2015,,,,
11-11-2015,,,,
12-11-2015,,,,
13-11-2015,,,,
14-11-2015,,,,
15-11-2015,,,,
16-11-2015,,,,
17-11-2015,,,,
18-11-2015,,,,
19-11-2015,,,,
20-11-2015,,,,
21-11-2015,,,,
22-11-2015,,,,
23-11-2015,,,,
24-11-2015,,,,
25-11-2015,,,,
26-11-2015,,,,
27-11-2015,,,,
28-11-2015,,,,
29-11-2015,,,,
30-11-2015,,,,
01-12-2015,,,,
02-12-2015,,,,
03-12-2015,,,,
04-12-2015,,,,
05-12-2015,,,,
06-12-2015,,,,
07-12-2015,,,,
08-12-2015,,,,
09-12-2015,,,,
10-12-2015,,,,
11-12-2015,,,,
12-12-2015,,,,
13-12-2015,,,,
14-12-2015,,,,
15-12-2015,,,,
16-12-2015,,,,
17-12-2015,,,,
18-12-2015,,,,
19-12-2015,,,,
20-12-2015,,,,
21-12-2015,,,,
22-12-2015,,,,
23-12-2015,,,,
24-12-2015,,,,
25-12-2015,,,,
26-12-2015,,,,
27-12-2015,,,,
28-12-2015,,,,
29-12-2015,,,,
30-12-2015,,,,
31-12-2015,,,,
01-01-2016,,,,
02-01-2016,,,,
03-01-2016,,,,
04-01-2016,,,,
05-01-2016,,,,
06-01-2016,,,,
07-01-2016,,,,
08-01-2016,,,,
09-01-2016,,,,
10-01-2016,,,,
11-01-2016,,,,
12-01-2016,,,,
13-01-2016,,,,
14-01-2016,,,,
15-01-2016,,,,
16-01-2016,,,,
17-01-2016,,,,
18-01-2016,,,,
19-01-2016,,,,
20-01-2016,,,,
21-01-2016,,,,
22-01-2016,,,,
23-01-2016,,,,
24-01-2016,,,,
25-01-2016,,,,
26-01-2016,,,,
27-01-2016,,,,
28-01-2016,,,,
29-01-2016,,,,
30-01-2016,,,,
31-01-2016,,,,
01-02-2016,,,,
02-02-2016,,,,
03-02-2016,,,,
04-02-2016,,,,
05-02-2016,,,,
06-02-2016,,,,
07-02-2016,,,,
08-02-2016,,,,
09-02-2016,,,,
10-02-2016,,,,
11-02-2016,,,,
12-02-2016,,,,
13-02-2016,,,,
14-02-2016,,,,
15-02-2016,,,,
16-02-2016,,,,
17-02-2016,,,,
18-02-2016,,,,
19-02-2016,,,,
20-02-2016,,,,
21-02-2016,,,,
22-02-2016,,,,
23-02-2016,,,,
24-02-2016,,,,
